District Court Judges,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
State and Court,Court Abbreviation,Judge Name,Appointment Year,Appointing President,Partisanship,Birth Year,Age,Years Served,Rule of 80,Eligible for Senior Status,Date Eligibile for Senior Status,Senior Status,Announce Retirement,Confirmation Vote,Chief,Link to Vote,Court Website,Notes
District of Maine,ME,Jon David Levy,2014,Obama,D,1954,69,9,78,No,2025,No,No,75-20,Yes,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1132/vote_113_2_00123.htm,,
District of Maine,ME,Nancy Torresen,2011,Obama,D,1959,64,12,76,No,2027,No,No,UC,No,,,
District of Maine,ME,Lance E. Walker,2018,Trump,R,1972,51,5,56,No,2047,No,No,Voice Vote,No,https://www.congress.gov/nomination/115th-congress/1810?q=%7B%22search%22%3A%5B%22Lance+Walker%22%5D%7D&s=1&r=7,,
District of Connecticut,CT,Michael P. Shea,2012,Obama,D,1967,56,11,67,No,2036,No,No,,Yes,,,
District of Connecticut,CT,Jeffrey Meyer,2014,Obama,D,1963,60,9,69,No,2034,No,No,,No,,,
District of Connecticut,CT,Victor Allen Bolden,2014,Obama,D,1965,58,9,67,No,2036,No,No,,No,,,
District of Connecticut,CT,Kari A. Dooley,2018,Trump,R,1963,60,5,65,No,2038,No,No,,No,,,
District of Connecticut,CT,Sarala Nagala,2021,BIden,D,1983,40,2,42,No,2061,No,No,52-46,No,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00436.htm,,
District of Connecticut,CT,Omar A. Williams,2021,Biden,D,1977,46,2,48,No,2055,No,No,52-46,No,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00442.htm,,
District of Connecticut,CT,Vernon D. Oliver,2023,Biden,D,1971,52,0,52,No,2051,No,No,53-44,No,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1181/vote_118_1_00230.htm,,
District of Massachusetts,MA,F. Dennis Saylor IV,2004,G.W. Bush,R,1955,68,19,87,Yes,2020,No,No,,Yes,,,
District of Massachusetts,MA,Nathaniel M. Gorton,1992,G.H.W. Bush,R,1938,85,31,116,Yes,2003,No,No,,No,,,
District of Massachusetts,MA,Patti B. Saris,1993,Clinton,D,1951,72,30,102,Yes,2016,No,Yes,,No,,,
District of Massachusetts,MA,Richard G. Stearns,1993,Clinton,D,1944,79,30,109,Yes,2009,No,No,,No,,,
District of Massachusetts,MA,Denise J. Casper,2010,Obama,D,1968,55,13,68,No,2035,No,No,,No,,,
District of Massachusetts,MA,Indira Talwani,2014,Obama,D,1960,63,9,72,No,2031,No,No,,No,,,
District of Massachusetts,MA,Mark G. Mastroianni,2014,Obama,D,1964,59,9,68,No,2035,No,No,,No,,,
District of Massachusetts,MA,Leo T. Sorokin,2014,Obama,D,1961,62,9,71,No,2032,No,No,,No,,,
District of Massachusetts,MA,Allison D. Burroughs,2014,Obama,D,1961,62,9,71,No,2032,No,No,,No,,,
District of Massachusetts,MA,Angel Kelley,2021,Biden,D,1967,56,2,58,No,2045,No,No,52-44,No,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00364.htm#position,,
District of Massachusetts,MA,Margaret R. Guzman,2023,Biden,D,1960,63,0,63,No,2040,No,No,,No,,,
District of Massachusetts,MA,Myong J. Joun,2023,Biden,D,1971,52,0,52,No,2051,No,No,,No,,,
District of Massachusetts,MA,Julia Kobick,2023,Biden,D,1983,40,0,40,No,2063,No,No,,No,,,
District of Rhode Island,RI,"John J. McConnell, Jr.",2011,Obama,D,1958,65,12,77,No,2026,No,No,50-44,Yes,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1121/vote_112_1_00066.htm,https://www.rid.uscourts.gov/judges/john-j-mcconnell-jr,
District of Rhode Island,RI,William E. Smith,2002,Bush,R,1959,64,21,85,No,2024,No,Yes,,No,,,
District of Rhode Island,RI,Mary S. McElroy,2019,Trump,R,1965,58,4,62,No,2041,No,No,Voice Vote,No,,,
District of New Hampshire,NH,Landya B. McCafferty,2013,Obama,D,1962,61,10,71,No,2032,No,No,79–19,Yes,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1131/vote_113_1_00262.htm,,
District of New Hampshire,NH,Joseph Normand Laplante,2007,G.W. Bush,R,1965,58,16,74,No,2030,No,No,,No,,,
District of New Hampshire,NH,Samantha D. Elliott,2021,Biden,D,1975,48,2,50,No,2053,No,No,62-37,No,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00501.htm,,
